# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Sep 11 07:04:14 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_fittype:    Planetary Fit Type
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_num_transits: Number of Transits
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.8110,2.470613377,122.7633050,0,0.8180,1.74319,1.4231e+04,0.123871,1.83538,LS+MCMC,13.04,0.0354,84.41,1339.0,761.46,4304.30,1,432,1,q1_q17_dr25_tce,5820.00,4.457,0.9640,286.808470,49.316399,11.338
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0000,2.204735417,121.3585417,0,0.2240,3.88864,6.6747e+03,0.075522,0.37936,LS+MCMC,16.10,0.0376,87.21,2048.0,4148.92,5945.90,1,611,1,q1_q17_dr25_tce,6440.00,4.019,1.9520,292.247280,47.969521,10.463
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.9980,3.522498429,121.1194228,0,0.6310,3.19843,9.1457e+03,0.092086,0.65374,LS+MCMC,14.59,0.0473,85.20,1521.0,1264.67,1741.50,1,384,1,q1_q17_dr25_tce,6225.00,4.169,1.4510,281.288120,42.451080,13.563
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1.0000,3.709214104,133.9831800,0,0.0510,2.63020,1.3110e+02,0.010424,1.77451,LS+MCMC,1.16,0.0465,89.73,1206.0,500.46,50.60,2,352,2,q1_q17_dr25_tce,5833.00,4.407,1.0220,295.648710,48.495560,12.772
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,11.521446064,170.8396880,0,2.4830,3.63990,1.7984e+04,1.625358,1.27376,LS+MCMC,150.51,0.0978,83.13,753.0,75.88,622.10,1,96,1,q1_q17_dr25_tce,5795.00,4.554,0.8480,297.079930,47.597401,15.472
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.403937760,172.4842530,0,0.8040,12.21550,8.9187e+03,0.096729,0.03785,LS+MCMC,7.18,0.1230,84.93,523.0,17.69,214.70,1,71,1,q1_q17_dr25_tce,5043.00,4.591,0.6800,289.258210,47.635319,15.487
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.221388942,184.5521637,0,1.0650,4.79843,7.4284e+04,0.476633,1.57359,LS+MCMC,49.29,0.1417,88.05,698.0,55.97,2317.00,2,55,1,q1_q17_dr25_tce,6117.00,4.496,0.9470,295.814540,47.690350,15.341
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,16.469837740,180.8817610,0,0.2920,9.43780,1.0479e+04,0.092509,0.19353,LS+MCMC,7.94,0.1147,88.81,595.0,29.61,303.40,1,66,1,q1_q17_dr25_tce,5152.00,4.517,0.7860,297.154420,47.668701,15.788
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1.0000,9.273581730,173.2581550,0,0.3870,3.28750,1.2883e+03,0.032563,1.93557,LS+MCMC,2.47,0.0759,88.93,649.0,41.85,87.20,1,144,1,q1_q17_dr25_tce,4856.00,4.583,0.6960,288.138240,47.724449,15.302
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.0000,6.029303290,171.6029590,0,0.2580,1.58210,1.9127e+03,0.038838,13.09803,LS+MCMC,2.85,0.0585,89.50,678.0,50.04,65.40,1,215,1,q1_q17_dr25_tce,4537.00,4.648,0.6720,283.710880,47.863270,15.784
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.696370652,170.7376900,0,0.0440,3.61290,3.9790e+02,0.017673,0.51471,LS+MCMC,1.58,0.0349,89.56,1066.0,305.34,48.20,1,501,1,q1_q17_dr25_tce,4989.00,4.504,0.8190,283.765470,47.804298,15.269
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1.0000,5.349553819,171.8069400,0,0.0920,3.02780,8.3100e+02,0.025706,1.73782,LS+MCMC,2.55,0.0563,89.62,919.0,168.99,60.60,3,247,1,q1_q17_dr25_tce,5185.00,4.440,0.9100,292.376130,47.880989,15.416
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.9800,3.941052210,136.0866200,0,0.2260,2.59840,3.6330e+02,0.017105,1.85636,LS+MCMC,1.70,0.0460,88.88,1018.0,253.15,28.90,3,322,2,q1_q17_dr25_tce,5185.00,4.440,0.9100,292.376130,47.880989,15.416
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.9710,8.109048070,132.8031000,0,0.0250,3.59600,2.1740e+02,0.013127,1.53020,LS+MCMC,1.30,0.0743,89.92,800.0,97.03,14.10,3,141,3,q1_q17_dr25_tce,5185.00,4.440,0.9100,292.376130,47.880989,15.416
25,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,386.603052800,166.3420790,0,0.9765,6.80570,2.4927e+04,0.240528,4.63335,MCMC,41.50,1.0719,89.95,297.0,1.84,994.00,1,,1,q1_q16_tce,5543.00,4.081,1.5800,292.273740,37.671558,12.394
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1.0000,21.676991930,171.5359400,0,0.8960,3.45550,8.5720e+02,0.032666,0.60007,LS+MCMC,2.95,0.1408,87.91,530.0,18.64,34.30,4,62,1,q1_q17_dr25_tce,4954.00,4.500,0.8280,290.465120,47.929180,15.377
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1.0000,4.996779680,171.7420800,0,0.7100,2.17170,9.3470e+02,0.030014,1.71827,LS+MCMC,2.78,0.0559,86.90,917.0,166.95,28.20,1,208,1,q1_q17_dr25_tce,5339.00,4.552,0.8470,297.808260,47.946671,15.861
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1.0000,4.280963604,171.8965900,0,0.4240,2.87500,7.5080e+02,0.025377,1.24482,LS+MCMC,2.30,0.0503,87.72,1012.0,247.87,61.80,1,311,1,q1_q17_dr25_tce,5644.00,4.564,0.8310,294.265810,49.314091,15.356
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.506354090,170.9980640,0,0.8600,1.51550,2.2117e+03,0.049899,0.84722,LS+MCMC,4.53,0.0250,79.38,1452.0,1054.12,181.10,1,882,1,q1_q17_dr25_tce,5714.00,4.563,0.8310,295.665220,49.351009,15.525
30,11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,670.645531000,209.0435500,0,0.7010,53.41200,1.8091e+04,0.131705,0.02605,LS+MCMC,14.14,1.5155,89.53,196.0,0.35,642.70,1,3,1,q1_q17_dr25_tce,5520.00,4.466,0.9830,296.698610,49.316479,15.207
31,11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,61.256362800,173.8382600,0,1.2480,7.63300,5.1233e+03,0.334628,0.12411,LS+MCMC,39.87,0.3137,87.54,505.0,15.43,85.30,1,13,1,q1_q17_dr25_tce,6144.00,4.402,1.0910,283.725920,49.479519,15.250
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1.0000,38.377548600,172.8204800,0,0.4680,5.58800,7.2420e+02,0.024901,1.40588,LS+MCMC,2.82,0.2163,89.44,529.0,18.53,34.70,1,37,1,q1_q17_dr25_tce,5481.00,4.369,1.0360,291.722020,49.480869,15.172
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.9920,41.197255020,165.0040400,0,0.0450,4.62970,2.2139e+03,0.041693,3.94710,LS+MCMC,3.86,0.2170,89.96,439.0,8.76,51.20,3,26,2,q1_q17_dr25_tce,5031.00,4.485,0.8480,286.999480,48.375790,15.841
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1.0000,6.252962249,171.3012600,0,0.1050,2.58190,1.0369e+03,0.028604,3.28707,LS+MCMC,2.65,0.0617,89.68,823.0,108.30,47.10,3,167,3,q1_q17_dr25_tce,5031.00,4.485,0.8480,286.999480,48.375790,15.841
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1.0000,16.013084190,176.3608000,0,0.7990,3.25540,1.1219e+03,0.034369,1.10942,LS+MCMC,3.10,0.1148,88.14,593.0,29.31,33.20,1,65,1,q1_q17_dr25_tce,5015.00,4.499,0.8260,297.025630,48.478588,15.390
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1.0000,32.628766720,194.1019000,0,0.0210,4.79710,1.8048e+03,0.038520,2.79093,LS+MCMC,3.36,0.1889,89.98,506.0,15.55,80.00,2,34,1,q1_q17_dr25_tce,5586.00,4.560,0.7980,285.718540,48.505859,15.082
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0.9780,91.773286200,193.8378000,0,0.6060,6.47300,6.5200e+02,0.024320,1.60558,LS+MCMC,2.12,0.3764,89.61,359.0,3.92,19.10,2,11,2,q1_q17_dr25_tce,5586.00,4.560,0.7980,285.718540,48.505859,15.082
38,11138155,K00760.01,Kepler-1976 b,CONFIRMED,CANDIDATE,1.0000,4.959319244,172.2585292,0,0.8310,2.22739,9.8020e+03,0.103379,1.46169,LS+MCMC,12.21,0.0565,86.15,1103.0,349.40,696.50,1,269,1,q1_q17_dr25_tce,5712.00,4.359,1.0820,292.167050,48.727589,15.263
39,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.701287801,170.6957900,0,1.0160,3.38270,8.6040e+02,0.065840,0.02818,LS+MCMC,6.54,0.0365,62.69,1222.0,527.81,48.30,1,387,1,q1_q17_dr25_tce,5550.00,4.468,0.9100,297.923650,48.777321,15.540
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,1.0000,4.498765110,171.3490500,0,0.3120,3.73620,4.6000e+02,0.019817,0.67106,LS+MCMC,2.10,0.0542,88.00,1133.0,389.62,29.50,1,238,1,q1_q17_dr25_tce,6075.00,4.486,0.9690,298.456850,48.791592,15.395
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.651209505,179.4019810,0,0.7230,5.25140,1.1766e+04,0.106953,0.67559,LS+MCMC,12.42,0.1433,88.27,730.0,67.03,513.40,1,59,1,q1_q17_dr25_tce,6074.00,4.391,1.0630,291.093900,48.933842,15.536
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,1.0000,5.412203927,133.1430890,0,0.7870,2.94720,6.0160e+02,0.024775,0.51087,LS+MCMC,2.94,0.0591,85.12,1093.0,337.68,166.70,3,244,1,q1_q17_dr25_tce,5779.00,4.339,1.0870,287.887330,46.276241,12.791
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,0.9980,41.439586620,208.9320300,0,0.3550,10.59890,2.7931e+03,0.048175,0.28189,LS+MCMC,5.50,0.2288,89.31,516.0,16.72,141.10,1,33,1,q1_q17_dr25_tce,5468.00,4.367,1.0460,295.555050,49.017342,15.400
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1.0000,8.353895230,171.6325700,0,0.0230,2.25140,1.0416e+03,0.029305,6.73215,LS+MCMC,2.52,0.0768,89.95,790.0,91.90,43.40,1,127,1,q1_q17_dr25_tce,5592.00,4.582,0.7870,285.499240,49.277351,15.317
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1.0000,4.125543472,169.7525850,0,0.5970,3.17440,1.4873e+03,0.036796,0.67162,LS+MCMC,4.43,0.0529,85.95,1243.0,565.35,128.60,1,323,1,q1_q17_dr25_tce,6174.00,4.417,1.1030,291.936160,49.253979,15.506
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1.0000,2.816504904,170.9676846,0,0.1050,2.50587,1.6814e+04,0.117059,2.09079,LS+MCMC,12.21,0.0383,89.37,1219.0,521.13,1406.80,1,474,1,q1_q17_dr25_tce,5532.00,4.452,0.9550,297.015470,49.225288,15.052
47,11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,33.933734470,186.6760800,0,0.8120,14.56100,8.5037e+03,0.095386,0.03710,LS+MCMC,7.34,0.1881,86.45,430.0,8.11,236.10,1,31,1,q1_q17_dr25_tce,5040.00,4.628,0.7050,284.172330,49.360722,15.716
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,1.0000,3.689920099,170.3657100,0,0.1510,2.65570,4.2670e+02,0.018878,1.70798,LS+MCMC,1.89,0.0469,89.19,1147.0,408.99,35.60,1,360,1,q1_q17_dr25_tce,5880.00,4.518,0.9170,291.622410,50.618240,15.242
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,1.0000,4.431238488,171.0150000,0,0.4050,3.15000,1.0109e+03,0.029330,1.01996,LS+MCMC,3.25,0.0529,87.72,1104.0,351.23,71.10,3,302,1,q1_q17_dr25_tce,5714.00,4.428,1.0150,295.816160,51.121738,15.367
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,1.0000,11.379369860,133.8499200,0,0.9110,2.62550,1.0235e+03,0.035628,0.63438,LS+MCMC,3.95,0.0993,86.80,806.0,99.68,37.90,3,109,2,q1_q17_dr25_tce,5714.00,4.428,1.0150,295.816160,51.121738,15.367
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,1.0000,26.394328970,176.0545900,0,0.6020,3.57300,1.5109e+03,0.036810,2.93923,LS+MCMC,3.07,0.1635,89.28,489.0,13.49,48.20,1,51,1,q1_q17_dr25_tce,5129.00,4.595,0.7630,289.399720,51.250320,15.234
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,1.0000,13.570782810,136.2791940,0,0.8660,3.35390,5.1170e+02,0.023908,0.49865,LS+MCMC,2.64,0.1096,87.07,785.0,89.61,88.40,4,101,1,q1_q17_dr25_tce,5854.00,4.406,1.0120,300.863980,44.337551,12.882
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,1.0000,7.125943870,139.0049200,0,0.8980,3.00140,1.9240e+02,0.015120,0.23879,LS+MCMC,1.79,0.0711,84.02,997.0,233.31,47.10,3,181,2,q1_q17_dr25_tce,5779.00,4.339,1.0870,287.887330,46.276241,12.791
54,11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.0140,7.442652004,169.9717797,0,0.1370,2.30780,2.4446e+04,0.143936,7.48712,LS+MCMC,15.03,0.0742,89.72,967.0,206.78,835.60,1,180,1,q1_q17_dr25_tce,6108.00,4.469,0.9560,288.986820,49.733742,15.270
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,1.0000,16.384899880,172.7278200,0,0.0010,3.02490,1.1271e+03,0.029758,5.45380,LS+MCMC,2.00,0.1084,90.00,433.0,8.35,28.90,3,65,2,q1_q17_dr25_tce,4126.00,4.661,0.6150,286.738040,49.975750,15.095
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,1.0000,7.877416300,176.3759000,0,0.0410,2.08050,1.3061e+03,0.032090,8.09685,LS+MCMC,2.16,0.0665,89.92,553.0,22.18,38.70,3,135,1,q1_q17_dr25_tce,4126.00,4.661,0.6150,286.738040,49.975750,15.095
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,1.0000,36.445400100,151.6012500,0,0.0280,4.00700,1.1223e+03,0.029681,5.21237,LS+MCMC,1.99,0.1847,89.98,332.0,2.88,21.70,3,27,3,q1_q17_dr25_tce,4126.00,4.661,0.6150,286.738040,49.975750,15.095
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,1.0000,3.728732147,171.7932550,0,0.5580,2.68300,5.2265e+03,0.068178,1.24118,LS+MCMC,6.02,0.0455,86.70,1023.0,258.34,345.20,1,357,1,q1_q17_dr25_tce,5497.00,4.577,0.8090,290.785740,50.054119,15.523
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,0.9990,40.419503700,173.5646900,0,0.9110,3.36200,6.2560e+03,0.088069,1.89549,LS+MCMC,7.51,0.2062,89.05,467.0,11.29,36.90,1,36,1,q1_q17_dr25_tce,5446.00,4.507,0.7810,294.316860,50.080231,15.487
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,1.0000,2.243380573,170.6792330,0,0.9150,1.11960,8.2170e+02,0.032248,1.50915,LS+MCMC,1.99,0.0280,82.88,822.0,107.60,38.90,1,472,1,q1_q17_dr25_tce,4149.00,4.698,0.5640,285.176210,50.149818,15.135
61,11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,10.405998015,177.1974660,0,0.3240,6.50360,1.4489e+04,0.111248,0.38489,LS+MCMC,11.23,0.0855,88.57,833.0,113.94,745.20,1,117,1,q1_q17_dr25_tce,5746.00,4.393,0.9240,289.235530,50.241001,15.562
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,1.0000,2.337437946,171.7619820,0,0.2800,1.99820,9.7120e+02,0.027998,2.41093,LS+MCMC,2.34,0.0325,88.19,1070.0,311.16,82.40,2,578,1,q1_q17_dr25_tce,5005.00,4.595,0.7650,293.833310,50.230350,15.334
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,0.9930,7.240661200,137.7554500,0,1.1980,0.55800,5.5640e+02,0.232818,8.66412,LS+MCMC,19.45,0.0692,87.62,734.0,68.63,13.70,2,168,2,q1_q17_dr25_tce,5005.00,4.595,0.7650,293.833310,50.230350,15.334
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,0.8710,3.435916310,132.6624000,0,0.6240,3.13300,2.3200e+01,0.004612,0.47024,LS+MCMC,0.55,0.0437,84.62,1272.0,617.61,8.70,3,357,3,q1_q17_dr25_tce,5779.00,4.339,1.0870,287.887330,46.276241,12.791
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,1.0000,11.598222330,180.3953760,0,0.6790,2.52370,2.8045e+03,0.051287,3.14915,LS+MCMC,2.65,0.0798,88.62,396.0,5.82,71.00,1,115,1,q1_q17_dr25_tce,3688.00,4.790,0.4730,296.221950,50.287220,15.937
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,1.0000,6.575315881,173.6340440,0,0.3900,4.30840,2.7933e+03,0.049152,0.64392,LS+MCMC,5.31,0.0670,88.03,1015.0,251.38,221.10,1,205,1,q1_q17_dr25_tce,5992.00,4.415,0.9890,290.098050,50.321609,15.312
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,1.0000,7.275040844,169.9942170,0,0.5470,7.53770,3.0010e+03,0.051358,0.10578,LS+MCMC,4.86,0.0732,85.29,833.0,113.64,312.10,1,188,1,q1_q17_dr25_tce,5485.00,4.556,0.8670,295.455290,50.494560,15.080
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,1.0000,19.271538920,186.7709300,0,0.0310,2.75940,1.2198e+03,0.031585,8.48241,LS+MCMC,1.93,0.1171,89.97,393.0,5.66,37.10,2,67,1,q1_q17_dr25_tce,4077.00,4.702,0.5600,293.973360,50.531910,15.385
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,1.0000,10.065243170,136.2890600,0,0.6280,1.36900,1.0533e+03,0.031153,18.09666,LS+MCMC,1.91,0.0760,89.22,488.0,13.43,30.30,2,126,2,q1_q17_dr25_tce,4077.00,4.702,0.5600,293.973360,50.531910,15.385
70,12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,1.0000,12.393565100,178.7472500,0,0.8830,3.88960,9.1660e+02,0.032536,0.27483,LS+MCMC,2.66,0.0983,86.13,677.0,49.68,35.80,1,107,1,q1_q17_dr25_tce,5557.00,4.603,0.7500,296.021330,50.567780,15.505
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,0.9980,43.844397210,151.9353800,0,0.8520,6.80200,6.1520e+02,0.025934,0.22039,LS+MCMC,2.87,0.2395,88.27,531.0,18.77,83.70,4,29,2,q1_q17_dr25_tce,5854.00,4.406,1.0120,300.863980,44.337551,12.882
72,3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,3.341913228,171.6394300,0,1.2130,3.81300,7.2530e+02,0.243351,0.01791,LS+MCMC,21.55,0.0415,56.44,1032.0,268.67,39.00,1,780,1,q1_q17_dr25_tce,5295.00,4.551,0.8110,292.315950,38.270290,15.629
